id,x,y,deg
001_0,s-48.19608619421424600,s58.77098461521422500,s45.00000000000000000
002_0,s-0.05208488988149412,s0.20601181964959520,s203.62937773065684000
002_1,s-0.36027902912422222,s-0.31690669496083401,s23.62937773065679200
003_0,s0.27306055880943259,s-0.23917150521366431,s109.74227645910349000
003_1,s0.35782322969692743,s0.25067144032077959,s66.37062225805939900
003_2,s-0.23451641485303351,s0.15512985254325667,s155.13394055648121000
004_0,s-0.32474778959087630,s0.13210997809118430,s156.37062214563639000
004_1,s0.31535434624113445,s0.13210997806647504,s156.37062226926409000
004_2,s0.32474778959087658,s-0.73210997806647471,s336.37062226926406000
004_3,s-0.31535434813632124,s-0.73210997809118594,s336.37062214563644999
005_0,s-0.46064856256540559,s0.11104546367120070,s293.62937773065680999
005_1,s-0.44898000602539201,s-0.79869906172190352,s23.62937773132007600
005_2,s0.46058970651037245,s-0.68880620762880151,s112.57350735837966000
005_3,s0.06440841304707238,s-0.47172931775961774,s66.35879840712036100
005_4,s0.24250475721552425,s0.09398746644149850,s212.64556652676194000
006_0,s-0.50433637769864403,s0.10003136987831583,s293.62937773065693001
006_1,s-0.11136787661481376,s-0.37943728842878632,s338.87232686970411999
006_2,s0.50433637767041883,s-0.68215144772301750,s338.87232686339637999
006_3,s-0.39697419001479267,s-0.74854494445485642,s23.62937773065668500
006_4,s-0.03735033547908395,s-0.80709697382976031,s246.37062226934341000
006_5,s0.50433637767003847,s0.20709697385699549,s158.87232686356921001
007_0,s-0.11026030033846794,s-0.50101182687994650,s114.80259762675132000
007_1,s-0.51581200188688403,s-0.24746745871112494,s23.62937773406042700
007_2,s0.46313366881678225,s0.48831295259398177,s64.20915828626300500
007_3,s-0.51303843791480053,s0.62308982092422649,s203.62937773407521000
007_4,s0.18990105386392903,s-0.36556364948298881,s233.92785602078698000
007_5,s0.12004537683032494,s-0.02018705663701090,s24.73311102673170600
007_6,s0.51586698121690289,s0.13618193877336413,s203.62937764774699000
008_0,s-0.24956221975123880,s-0.41109156939177383,s51.76673781765050800
008_1,s0.66466754289041974,s-0.85730535429617960,s113.62937778578946000
008_2,s-0.66466754286029162,s0.25730535537051269,s293.62937773063760000
008_3,s0.55730535519554814,s0.32683689340179994,s203.62937773065684000
008_4,s0.24956221984078497,s-0.18890842992025900,s231.76673780277832000
008_5,s-0.20658887534307224,s-0.85526210149168669,s293.62937778578947001
008_6,s0.20658887514113880,s0.25526210148701128,s113.62937773063761000
008_7,s-0.55730535517644531,s-0.92683689330982411,s23.62937773065655700
009_0,s1.62822099715496100,s-0.47106422610546572,s336.37082930774612999
009_1,s1.18639780028389260,s-0.01108513632349569,s289.38062890866865001
009_2,s0.32616459256335006,s0.76971928460619443,s300.21689381750298001
009_3,s1.61380948975466350,s0.44589827811379878,s335.23741014364110999
009_4,s0.75646541351254515,s0.59037240888272158,s246.21804998169188000
009_5,s1.13939359542833410,s0.84391911521034080,s290.24488325880087999
009_6,s0.41285562278600191,s-0.47106429678446549,s23.62937558269368000
009_7,s0.79450500164276605,s-0.27514465241013841,s241.56997513977916001
009_8,s0.72192921244209329,s0.03372809380322393,s51.92096905108854800
010_0,s0.16229371471391529,s0.39454295415572566,s290.15041779841424999
010_1,s0.61943753828394743,s-1.00399863759323040,s338.60591097376163999
010_2,s-0.64011045231208386,s-0.08968514749034409,s21.40063236309487500
010_3,s0.20679622983921334,s-0.53233580714828432,s292.60822785370453000
010_4,s-0.22819864041850108,s-0.53642345047369611,s70.42163311241701300
010_5,s-0.67472039390942651,s-0.98841606067314935,s23.62938929955007700
010_6,s-0.26258852717768250,s0.40214786762670340,s66.34583575338790200
010_7,s0.62328320827963057,s-0.03167568239451651,s336.26254329788354999
010_8,s0.12787543745902141,s-0.87242425775250232,s115.55894841437322000
010_9,s-0.19143248161883411,s0.06611202327428750,s246.34591013398924000
011_0,s-0.68036730701172743,s0.26671472414688058,s24.02207648366418600
011_1,s0.81135701304978480,s0.66470956046172724,s71.91876367906515100
011_2,s0.66107093964069874,s0.24863531590651455,s207.03975875430035000
011_3,s0.32427212008004674,s0.30548555227767232,s30.12584213034662300
011_4,s0.81146588987107926,s-0.71265863333822388,s113.63381143244769000
011_5,s0.14751966447768600,s-0.08102495296952893,s249.17011314852672001
011_6,s-0.04407892816044045,s-0.69426797731507217,s293.63381144319220001
011_7,s-0.26856248669684102,s-0.22335012129013812,s354.04113552816329999
011_8,s-0.68538312667594314,s-0.15695366210463582,s156.37062228021171000
