id,x,y,deg
001_0,s-4.8196086194214246e+01,s5.8770984615214225e+01,s4.5000000000000000e+01
002_0,s1.5409706962136427e-01,s-3.8540742694785537e-02,s2.0362937773065684e+02
002_1,s-1.5409706962136380e-01,s-5.6145925730521473e-01,s2.3629377730656792e+01
003_0,s2.7374223328886571e-01,s-2.3964776464603080e-01,s1.0983729200820841e+02
003_1,s3.5780505249580102e-01,s2.5039147277756585e-01,s6.6370622258003237e+01
003_2,s-2.3453459205419849e-01,s1.5484988500059868e-01,s1.5513394055647396e+02
004_0,s-3.2474778959087558e-01,s1.3210997809118560e-01,s1.5637062214563639e+02
004_1,s3.1535434624113418e-01,s1.3210997806647570e-01,s1.5637062226926409e+02
004_2,s3.2474778959087558e-01,s-7.3210997806647526e-01,s3.3637062226926400e+02
004_3,s-3.1535434813632168e-01,s-7.3210997809118572e-01,s3.3637062214563645e+02
005_0,s-4.6061913462487863e-01,s1.1101664971250541e-01,s2.9362937773065687e+02
005_1,s-4.4895057808465239e-01,s-7.9872787568062009e-01,s2.3629377731339925e+01
005_2,s4.6061913445087210e-01,s-6.8883502158744792e-01,s1.1257350735835010e+02
005_3,s6.4437840987674425e-02,s-4.7175813171822312e-01,s6.6358798407133548e+01
005_4,s2.4255002522427516e-01,s9.3974793616036431e-02,s2.1264419636653673e+02
006_0,s-5.0433637769864781e-01,s1.0003136987831769e-01,s2.9362937773065687e+02
006_1,s-1.1136787661481015e-01,s-3.7943728842878638e-01,s3.3887232686970208e+02
006_2,s5.0433637767041528e-01,s-6.8215144772302105e-01,s3.3887232686339524e+02
006_3,s-3.9697419001479844e-01,s-7.4854494445485320e-01,s2.3629377730656806e+01
006_4,s-3.7350335479094263e-02,s-8.0709697382975876e-01,s2.4637062226934324e+02
006_5,s5.0433637767003558e-01,s2.0709697385699904e-01,s1.5887232686356933e+02
007_0,s4.0552982229512352e-01,s-3.7059056853258249e-01,s3.7559821216456562e+01
007_1,s-6.2343152301035287e-01,s-8.1566614251260405e-01,s2.5283010564293286e+02
007_2,s6.2343152308834371e-01,s1.8742974931823797e-01,s6.5196501840024936e+01
007_3,s5.1578989227218763e-01,s-9.1114838153276034e-01,s3.3637062226934347e+02
007_4,s-3.6770719930742035e-01,s3.1114838103331788e-01,s2.0781661725939313e+02
007_5,s-1.2530084246005505e-01,s-4.8312510475599235e-01,s2.1352151563502329e+02
007_6,s-4.6334416179475058e-01,s-4.2804069301813502e-01,s2.7816617259392498e+01
008_0,s-2.4956221975123621e-01,s-4.1109156939177466e-01,s5.1766737817650913e+01
008_1,s6.6466754289042074e-01,s-8.5730535429617949e-01,s1.1362937778578991e+02
008_2,s-6.6466754286029217e-01,s2.5730535537051069e-01,s2.9362937773063794e+02
008_3,s5.5730535519554958e-01,s3.2683689340179739e-01,s2.0362937773065684e+02
008_4,s2.4956221984078703e-01,s-1.8890842992025575e-01,s2.3176673780277892e+02
008_5,s-2.0658887534306691e-01,s-8.5526210149168802e-01,s2.9362937778578987e+02
008_6,s2.0658887514113652e-01,s2.5526210148701278e-01,s1.1362937773063793e+02
008_7,s-5.5730535517644286e-01,s-9.2683689330984365e-01,s2.3629377730656611e+01
009_0,s-1.2408967530640952e-01,s6.0640776539653918e-01,s6.7961227284340637e+01
009_1,s6.9328572817069911e-01,s5.1931869281486942e-01,s5.9043090556637402e+01
009_2,s-4.0585527793184373e-01,s-3.0817978090725406e-01,s-2.2026017052471978e+01
009_3,s7.1859288309614122e-01,s-6.1166199345364081e-01,s6.2895189481340388e+01
009_4,s7.1720528469255662e-01,s2.9820971365888058e-02,s1.1012264580302168e+02
009_5,s-5.9704911318656206e-01,s1.9146115797501542e-01,s2.4635703362480918e+01
009_6,s-6.1036997579800856e-01,s-7.1769811579820963e-01,s2.3629377733332781e+01
009_7,s-1.4643172100228355e-01,s-5.6649527766954166e-01,s-1.1710481051866175e+02
009_8,s1.7531246100485540e-01,s4.0433028879354183e-01,s1.5797398294668025e+02
010_0,s1.8801237562748679e-01,s3.9546833941286963e-01,s2.9015041780508830e+02
010_1,s6.4515619925626178e-01,s-1.0030732523536845e+00,s3.3860591097458473e+02
010_2,s-6.1439179122631427e-01,s-8.8759762445870666e-02,s2.1400632357140843e+01
010_3,s2.3251489085102781e-01,s-5.3141042189372267e-01,s2.9260822786071776e+02
010_4,s-2.0247997948958305e-01,s-5.3549806563152202e-01,s7.0421633084614356e+01
010_5,s-6.4900173321080690e-01,s-9.8749067548969049e-01,s2.3629389278303520e+01
010_6,s-2.3686986620954378e-01,s4.0307325286411055e-01,s6.6345835752947252e+01
010_7,s6.4900186929324377e-01,s-3.0750296975840228e-02,s3.3626254330099124e+02
010_8,s1.5359409850984859e-01,s-8.7149887243374347e-01,s1.1555894839837670e+02
010_9,s-1.6571382058689535e-01,s6.7037408352670150e-02,s2.4634591015391356e+02
011_0,s-6.8036730700975867e-01,s2.6671472414423819e-01,s2.4022076483804764e+01
011_1,s8.1135701300082741e-01,s6.6470956087527988e-01,s7.1918763551270686e+01
011_10,s-6.8538312667566326e-01,s-1.5695366210574760e-01,s1.5637062228070943e+02
011_2,s-3.0567332425005916e-01,s-6.4673227791466559e-01,s1.1890100058225102e+02
011_3,s-2.0089364736266471e-01,s6.5853906875266777e-01,s6.9034170525458194e+01
011_4,s6.6107093963933106e-01,s2.4863531591008733e-01,s2.0703975875442981e+02
011_5,s3.2427212007777678e-01,s3.0548555228003194e-01,s3.0125842130451918e+01
011_6,s8.1146588987131696e-01,s-7.1265863333794754e-01,s1.1363381143243461e+02
011_7,s1.4751966447950254e-01,s-8.1024952966830696e-02,s2.4917011314846994e+02
011_8,s-4.4078928161307436e-02,s-6.9426797731503032e-01,s2.9363381144339451e+02
011_9,s-2.6856248669659694e-01,s-2.2335012129086548e-01,s3.5404113552811174e+02
012_0,s-7.4568509197728494e-01,s-2.6619403326758065e-02,s3.3301409700751577e+02
012_1,s-6.9455945004178266e-01,s8.4509509623196355e-01,s1.5301409700794682e+02
012_10,s-3.4275794331654574e-01,s-2.8192364546308751e-01,s2.9690144648679166e+02
012_11,s7.2766103922236658e-01,s2.2915191919369213e-01,s3.4035851303996338e+02
012_2,s7.3664098075996487e-01,s-8.4422804892997461e-01,s3.3637062226934358e+02
012_3,s-2.1893869691877652e-01,s-6.9562313317583624e-01,s1.1597623184088472e+02
012_4,s-7.2330844272306982e-01,s-3.3070259299693266e-01,s1.5530202131683708e+02
012_5,s2.7883378270419451e-01,s3.7042610468855963e-01,s1.1690144648679333e+02
012_6,s-1.1344184573405694e-01,s8.4383713890016021e-01,s1.6106658925644678e+02
012_7,s2.6556206010556228e-02,s-7.4286985411792039e-01,s2.9597623184346992e+02
012_8,s6.6382722321364029e-01,s-9.7261812985577539e-02,s1.1439142924068025e+02
012_9,s3.3861392966301762e-01,s7.0593157797716355e-01,s2.9605763262238315e+02
013_0,s3.2074714201547277e-01,s-7.6988874879462887e-01,s2.5031034309107304e+02
013_1,s-7.6321035945628990e-01,s2.8752378091793646e-01,s1.5435808109614780e+02
013_10,s7.6985944899638470e-01,s-3.2233931502986241e-01,s2.0362937773065644e+02
013_11,s8.7746326427596433e-01,s7.3609293125387332e-01,s1.1466426336556397e+02
013_12,s-1.0828919016104607e-01,s-7.7729506550265759e-01,s1.1374470402263495e+02
013_2,s-8.0551647772164905e-02,s1.5234388691304920e-01,s2.8572397104320692e+02
013_3,s8.7704196986848548e-01,s1.6969956170626146e-01,s1.0857591322384221e+02
013_4,s-8.9613731030703725e-01,s-6.8952408141052424e-01,s2.9374470402263694e+02
013_5,s-4.2380929892118485e-01,s3.6416533189234906e-01,s3.3698667357698793e+02
013_6,s-8.9581802590370274e-01,s7.7406915267130161e-01,s2.9114833058730972e+02
013_7,s4.7173290392168409e-02,s7.6665622093513341e-01,s2.9466426336560687e+02
013_8,s-3.6365125835765691e-02,s-4.3904934379806598e-01,s2.9535972200566613e+02
013_9,s-2.3322253885785391e-01,s-5.9819444807256483e-02,s1.0945322494145094e+02
014_0,s-8.1661786837392503e-01,s4.0520796415941851e-01,s1.5637062226934410e+02
014_1,s-8.7872690173932433e-01,s-1.0800281070688855e+00,s2.4347297454409605e+02
014_10,s-9.2371580658758445e-01,s-6.0706337195629656e-01,s2.8940683432868849e+02
014_11,s-3.3686415953048082e-01,s1.2569785543502916e-02,s1.1113089237024012e+02
014_12,s7.2409881685253905e-02,s-5.0058077469212570e-01,s1.0965805277777007e+02
014_13,s-6.6309015853022067e-03,s-1.1241706892029304e+00,s6.3472974437463620e+01
014_2,s-2.3978380978647676e-01,s4.7944216717577914e-01,s6.3433542043660552e+01
014_3,s8.7826842762825075e-01,s4.7950716270224175e-01,s6.3438746351425770e+01
014_4,s9.2371580662118780e-01,s6.4983859619211718e-03,s1.0953065954767771e+02
014_5,s6.1989826564678640e-03,s5.2417068920110210e-01,s2.4343874635111985e+02
014_6,s2.3948619686303432e-01,s-1.0793757931716481e+00,s2.4342190902704087e+02
014_7,s-7.0598914414944064e-02,s-1.0036194993045786e-01,s2.8968696897692507e+02
014_8,s8.1662662603850489e-01,s-1.0053877109957408e+00,s3.3637062210981333e+02
014_9,s3.3675614452313513e-01,s-6.1286132001221438e-01,s2.9113089217986862e+02
015_0,s-3.7936675554230131e-01,s-3.0910512507323123e-01,s2.0165959553583875e+02
015_1,s-8.0607506559174635e-01,s4.7602240674871465e-01,s1.5141299690878637e+02
015_10,s5.0525352863970940e-01,s1.6264456173519370e-01,s5.5796058478664044e+01
015_11,s-8.6820301423918389e-01,s-3.6673162542017673e-01,s1.5636975202371255e+02
015_12,s-3.0153058181581904e-01,s1.4531019465654610e-01,s1.1020779210691020e+02
015_13,s1.2097551021603863e-01,s8.6812151013663630e-01,s2.9362937773066466e+02
015_14,s9.7543502108783642e-01,s-8.6816546936947769e-01,s1.1362937761698846e+02
015_2,s-6.8839060122249263e-01,s-8.6816546953048834e-01,s2.4637062226017335e+02
015_3,s9.7543502111055425e-01,s8.4853244246030668e-01,s1.1362937773066437e+02
015_4,s1.3263146979151216e-01,s-8.3640074802143805e-01,s2.9362937761692774e+02
015_5,s-4.7424071821233749e-01,s5.3071956932474018e-01,s3.2534302126817465e+02
015_6,s-9.7542376186259350e-01,s8.5662312668455509e-01,s2.8837569007691650e+02
015_7,s5.6150800425413294e-01,s-1.6465896850247627e-01,s2.3163058043901970e+02
015_8,s1.7144796644729773e-01,s-3.3408432046947462e-01,s1.6651018110313945e+01
015_9,s8.6807097980403536e-01,s3.6495505293173103e-01,s2.0362862066358221e+02
016_0,s1.0942674381943247e-01,s-1.1417496934229163e+00,s2.4691723960982944e+02
016_1,s-1.4167344295549317e-01,s-1.3910666206231718e-02,s6.7904018271364578e+01
016_10,s1.0097970345393790e+00,s-1.3961379535910114e-02,s6.7904660356750156e+01
016_11,s-1.0097970642862872e+00,s-5.8604053687378310e-01,s2.4790466848315671e+02
016_12,s1.0099276216504287e+00,s-1.2013409980239294e+00,s6.6917239609790784e+01
016_13,s-1.0090539911526490e+00,s-4.2742232434464456e-02,s2.4790401827136429e+02
016_14,s1.0099260867794091e+00,s6.0132747357568728e-01,s6.6917041520008794e+01
016_15,s-1.0099269038740459e+00,s-1.2013314133540458e+00,s2.4692055783442086e+02
016_2,s1.4167204010067702e-01,s-5.8608810072816753e-01,s2.4790405441209018e+02
016_3,s1.0090526033074496e+00,s-5.5725602024660537e-01,s6.7904054412090133e+01
016_4,s-1.0942626064389675e-01,s5.4175190676825302e-01,s6.6917425586971277e+01
016_5,s1.3337527598690524e-01,s6.0133656493247456e-01,s2.4691928304274558e+02
016_6,s-1.0099276216474629e+00,s6.0134100856227779e-01,s2.4691742558697109e+02
016_7,s-1.3337650275447216e-01,s-1.2013351539271488e+00,s6.6919686560046912e+01
016_8,s-1.0006309013617831e-01,s-6.4983994749851604e-01,s6.7904163374198191e+01
016_9,s1.0006188479349873e-01,s4.9841198834338109e-02,s2.4790418950813455e+02
017_0,s-9.3655027445740824e-01,s-1.3445211306497020e+00,s2.3629377730654941e+01
017_1,s1.9742947850772155e-01,s-1.1047774756890858e+00,s2.3550768672827883e+02
017_10,s7.5652783617723285e-01,s-2.1020562542288021e-01,s3.0838758713123752e+01
017_11,s1.0436058704722844e+00,s-1.2517305964812306e+00,s5.5507686728278294e+01
017_12,s9.2556921992750385e-01,s-7.1309865524133975e-01,s3.3600314016762081e+02
017_13,s-8.8893866004609157e-01,s1.2928136644639351e-01,s2.4276157110592038e+01
017_14,s-9.2516339652115059e-02,s-3.2023218736521908e-01,s1.7481799635724488e+02
017_15,s4.5526374243322787e-01,s6.2516744245855893e-01,s2.9172390945771093e+02
017_16,s5.2343951526045429e-01,s-4.7115020388354051e-01,s1.2959247411966763e+02
017_2,s9.3026341227306031e-01,s2.1738394079888954e-01,s3.3637062226934484e+02
017_3,s-5.2427947375149053e-01,s6.2965474376447439e-01,s6.6370622269330994e+01
017_4,s1.6080164842180675e-01,s-1.4146376926651485e-01,s3.5498693183475353e+02
017_5,s-4.8249741088421581e-02,s7.4452113065451142e-01,s1.7498693183475368e+02
017_6,s-1.1218618918364111e-01,s-1.2371589422532352e+00,s1.1362937743961203e+02
017_7,s-4.9963745780182661e-01,s-1.7288111726100366e-01,s3.4398745455683371e+02
017_8,s-4.7173251089701784e-01,s-9.2458251358467647e-01,s6.9598725175702313e+01
017_9,s-1.0436058704889015e+00,s-3.1199793482648908e-01,s2.4930563356607058e+02
018_0,s-3.6089805756480203e-01,s2.2462478226774410e-01,s1.2086300609505675e+02
018_1,s-9.6162322156415569e-01,s2.4858987077863204e-01,s2.0780349410194038e+01
018_10,s-5.7071046356887112e-01,s-9.0513781730414100e-01,s2.1811886274646355e+02
018_11,s4.1796072360387454e-01,s4.7963075730888505e-01,s1.1861492302111297e+02
018_12,s-1.0330890345833910e-01,s-8.5204886259256496e-01,s3.0492826158091412e+02
018_13,s5.4566486157725047e-01,s7.1730843667230859e-01,s2.9197365198895494e+02
018_14,s6.4330292678471013e-02,s-1.2138682066095654e+00,s2.4637062878729154e+02
018_15,s-1.0755619360775048e+00,s-1.2138682225685153e+00,s2.4637062226934404e+02
018_16,s6.7695457425564065e-01,s-6.4236317010302066e-02,s7.8766084815702627e+01
018_17,s-8.5805467758066101e-01,s-8.4386341785606134e-01,s3.2581597345399487e+01
018_2,s-4.3119618417670696e-01,s-3.9111590132745316e-01,s7.7821345242546926e+01
018_3,s4.5787549533752803e-01,s-9.8498443136859237e-01,s2.9329343385567995e+02
018_4,s1.0755619360751856e+00,s-3.1172401521096871e-01,s1.1759103247582151e+02
018_5,s-1.9053713251792692e-01,s-2.2978963180741538e-01,s2.5876608481569843e+02
018_6,s-2.4510987261174291e-01,s5.8950676032238070e-01,s3.0443517126192813e+02
018_7,s9.6689888443043381e-01,s-1.3212304102523555e+00,s3.3637062226934273e+02
018_8,s-5.5592894768766810e-01,s7.2123041025557844e-01,s6.6370622269343301e+01
018_9,s9.5152922970733422e-01,s1.9915752666146069e-01,s-4.7011630752893134e+03
019_0,s-7.9754249543342004e-01,s1.7766401999967790e-01,s3.3679736578503844e+02
019_1,s4.9577599575615966e-01,s-1.2724456957291832e+00,s2.4492829854496580e+02
019_10,s-1.0023133829543642e+00,s-1.3981544729638509e+00,s2.3629234378228432e+01
019_11,s2.2694470402924521e-03,s-3.1496161765972192e-01,s3.5999176488178324e+02
019_12,s9.0777475646012795e-01,s9.8288904669913219e-02,s2.8426847211544153e+01
019_13,s-1.1100454379416402e+00,s6.9555520400529192e-01,s2.9510685601220769e+02
