id,x,y,deg
001_0,s4.3225014144298619e+01,s-3.1790469594602818e+01,s4.5000000000000000e+01
002_0,s1.5409706962136419e-01,s-3.8540742694785829e-02,s2.0362937773065684e+02
002_1,s-1.5409706962136491e-01,s-5.6145925730521440e-01,s2.3629377730656792e+01
003_0,s2.7429893422663776e-01,s-2.3070652886982540e-01,s1.0983441683734048e+02
003_1,s3.5838047172555854e-01,s2.5933307381802539e-01,s6.6370622257992480e+01
003_2,s-2.3395917282446255e-01,s1.6379148604117119e-01,s1.5513394055647359e+02
004_0,s-3.2474778959087558e-01,s1.3210997809118560e-01,s1.5637062214563639e+02
004_1,s3.1535434624113418e-01,s1.3210997806647570e-01,s1.5637062226926409e+02
004_2,s3.2474778959087702e-01,s-7.3210997806647460e-01,s3.3637062226926395e+02
004_3,s-3.1535434813632168e-01,s-7.3210997809118572e-01,s3.3637062214563645e+02
005_0,s-4.6061913462488191e-01,s1.1101664971249424e-01,s2.9362937773065681e+02
005_1,s-4.4895057808462208e-01,s-7.9872787568063586e-01,s2.3629377731343101e+01
005_2,s4.6061913445086411e-01,s-6.8883502158745458e-01,s1.1257350735834643e+02
005_3,s6.4437840987679032e-02,s-4.7175813171822262e-01,s6.6358798407135254e+01
005_4,s2.4253495310660333e-01,s9.3959592490837421e-02,s2.1264548904420934e+02
006_0,s-5.0433637769864859e-01,s1.0003136987832097e-01,s2.9362937773065676e+02
006_1,s-1.1136787661481946e-01,s-3.7943728842878394e-01,s3.3887232686970293e+02
006_2,s5.0433637767042017e-01,s-6.8215144772301672e-01,s3.3887232686339445e+02
006_3,s-3.9697419001479822e-01,s-7.4854494445485353e-01,s2.3629377730657001e+01
006_4,s-3.7350335479088052e-02,s-8.0709697382975853e-01,s2.4637062226934378e+02
006_5,s5.0433637767003658e-01,s2.0709697385699755e-01,s1.5887232686356865e+02
007_0,s4.0552982229535051e-01,s-3.7059056853280314e-01,s3.7559821216693280e+01
007_1,s-6.2343152301025717e-01,s-8.1566614251514091e-01,s2.5283010564035044e+02
007_2,s6.2343152308837346e-01,s1.8742974931821643e-01,s6.5196501840027338e+01
007_3,s5.1578989227214656e-01,s-9.1114838153279964e-01,s3.3637062226934336e+02
007_4,s-3.6770719930745965e-01,s3.1114838103327247e-01,s2.0781661725940018e+02
007_5,s-1.2530084246005219e-01,s-4.8312510475599396e-01,s2.1352151563501479e+02
007_6,s-4.6334416179471483e-01,s-4.2804069301817343e-01,s2.7816617259400338e+01
008_0,s-2.4956221975123621e-01,s-4.1109156939177466e-01,s5.1766737817650913e+01
008_1,s6.6466754289042074e-01,s-8.5730535429617949e-01,s1.1362937778578991e+02
008_2,s-6.6466754286029217e-01,s2.5730535537051069e-01,s2.9362937773063794e+02
008_3,s5.5730535519554958e-01,s3.2683689340179739e-01,s2.0362937773065684e+02
008_4,s2.4956221984078464e-01,s-1.8890842992025891e-01,s2.3176673780277892e+02
008_5,s-2.0658887534306691e-01,s-8.5526210149168802e-01,s2.9362937778578987e+02
008_6,s2.0658887514113652e-01,s2.5526210148701278e-01,s1.1362937773063793e+02
008_7,s-5.5730535517643542e-01,s-9.2683689330984809e-01,s2.3629377730656611e+01
009_0,s-1.2408967542777551e-01,s6.0640776539723684e-01,s6.7961227295885053e+01
009_1,s6.9328572818278544e-01,s5.1931869309580758e-01,s5.9043090578705637e+01
009_2,s-4.0585527793279036e-01,s-3.0817978091326731e-01,s-2.2026017052972509e+01
009_3,s7.1859288311949931e-01,s-6.1166199342114747e-01,s6.2895189482559658e+01
009_4,s7.1720528471834499e-01,s2.9820971401028403e-02,s1.1012264580449893e+02
009_5,s-5.9720920888854878e-01,s1.9161472029409340e-01,s2.4044482686598798e+01
009_6,s-6.1036997579871188e-01,s-7.1769811580046194e-01,s2.3629377733338458e+01
009_7,s-1.4643172098350177e-01,s-5.6649527765239915e-01,s-1.1710481051768848e+02
009_8,s1.7531246100264239e-01,s4.0433028877895588e-01,s1.5797398294701799e+02
010_0,s1.8445943084411559e-01,s3.9534050062055126e-01,s2.9015041780642071e+02
010_1,s6.4160325448420763e-01,s-1.0032010911492761e+00,s3.3860591097485514e+02
010_2,s-6.1794473597715827e-01,s-8.8887601279019374e-02,s2.1400632355904428e+01
010_3,s2.2896194608693393e-01,s-5.3153826068668542e-01,s2.9260822786208507e+02
010_4,s-2.0603292426800127e-01,s-5.3562590449968850e-01,s7.0421633079778104e+01
010_5,s-6.5255467803581524e-01,s-9.8761851430007230e-01,s2.3629389274160868e+01
010_6,s-2.4042281098192214e-01,s4.0294541406831336e-01,s6.6345835752886359e+01
010_7,s6.4544892452954883e-01,s-3.0878135736569581e-02,s3.3626254330159333e+02
010_8,s1.5004115375345509e-01,s-8.7162671121466195e-01,s1.1555894839543666e+02
010_9,s-1.6926676534707982e-01,s6.6909569525363630e-02,s2.4634591015779884e+02
011_0,s-6.8036730660554234e-01,s2.6671472393567591e-01,s2.4022076517076208e+01
011_1,s8.1135701297695484e-01,s6.6470956118149338e-01,s7.1918763633950519e+01
