id,x,y,deg
001_0,s0.00000000000000000000,s-0.30000000000000004441,s45.00000000000000000000
002_0,s0.154097069621364269,s-0.038540742694785544,s203.629377730656841550
002_1,s-0.154097069621363797,s-0.561459257305214732,s23.629377730656791812
003_0,s0.274223251975510174,s-0.191291939562269669,s115.105099029486765971
003_1,s0.357805052495846765,s0.250391472777491297,s66.370622257992479831
003_2,s-0.234534592054175234,s0.154849885000637483,s155.133940556473561401
004_0,s-0.32474778959087557961,s0.13210997809118560364,s156.37062214563638917753
004_1,s0.31535434624113417579,s0.13210997806647570285,s156.37062226926408925465
004_2,s0.32474778959087557961,s-0.73210997806647526431,s336.37062226926400398952
004_3,s-0.31535434813632168272,s-0.73210997809118572022,s336.37062214563644602094
005_0,s-0.46061913462488190962,s0.11101664971249423919,s293.62937773065681312801
005_1,s-0.44895057808462218718,s-0.79872787568063574604,s23.62937773134310148748
005_2,s0.46061913445086516417,s-0.68883502158745391064,s112.57350735834565114146
005_3,s0.06443784098767903201,s-0.47175813171822261749,s66.35879840713525368301
005_4,s0.25914453854915570075,s0.11000407584064396393,s210.99277828640649090630
006_0,s-0.50433637769864858580,s0.10003136987832096649,s293.62937773065675628459
006_1,s-0.11136787661481967193,s-0.37943728842878388097,s338.87232686970293116246
006_2,s0.50433637767042016620,s-0.68215144772301672393,s338.87232686339393694652
006_3,s-0.39697419001479844480,s-0.74854494445485342258,s23.62937773065700142183
006_4,s-0.03735033547909046014,s-0.80709697382975842395,s246.37062226934378372789
006_5,s0.50433637767003591801,s0.20709697385699907257,s158.87232686356864519439
007_0,s0.405529822295343678,s-0.370590568532810694,s37.559821216690657764
007_1,s-0.623431523009421062,s-0.815666142515779957,s252.830105640733961536
007_2,s0.623431523088369244,s0.187429749318230421,s65.196501840028631136
007_3,s0.515789892272146555,s-0.911148381532799645,s336.370622269343357402
007_4,s-0.367707199307459653,s0.311148381033272470,s207.816617259400175044
007_5,s-0.125300842460053102,s-0.483125104755993739,s213.521515635014793588
007_6,s-0.463344161794713216,s-0.428040693018175267,s27.816617259400338469
008_0,s-0.24956221975123621393,s-0.41109156939177465828,s51.76673781765091320040
008_1,s0.66466754289042073722,s-0.85730535429617948928,s113.62937778578991299128
008_2,s-0.66466754286029217091,s0.25730535537051069106,s293.62937773063794111295
008_3,s0.55730535519554957880,s0.32683689340179739036,s203.62937773065684154972
008_4,s0.24956221984078702514,s-0.18890842992025574931,s231.76673780277891978585
008_5,s-0.20658887534306691336,s-0.85526210149168802044,s293.62937778578987035871
008_6,s0.20658887514113652428,s0.25526210148701278246,s113.62937773063792690209
008_7,s-0.55730535517644286259,s-0.92683689330984364574,s23.62937773065661062333
009_0,s-0.124089675383816184,s0.606407765385918562,s67.961227293171901920
009_1,s0.693285728119312328,s0.519318692914327973,s59.043090573191697956
009_2,s-0.405855277933060810,s-0.308179780912911205,s-22.026017052952980180
009_3,s0.718592883116141001,s-0.611661993469551968,s62.895189479038165814
009_4,s0.717205284718536284,s0.029820971396432097,s110.122645804241486189
009_5,s-0.605090062624967784,s0.186323824211772737,s22.818810046162987248
009_6,s-0.610369975799100795,s-0.717698115800131098,s23.629377733340113821
009_7,s-0.146431720980548435,s-0.566495277658579210,s-117.104810520599357915
009_8,s0.175312461002238795,s0.404330288779130687,s157.973982947067810301
010_0,s0.188012375616399302,s0.395468339416322034,s290.150417806410700905
010_1,s0.645156199256519125,s-1.003073252353518630,s338.605910974855135009
010_2,s-0.614391791204856763,s-0.088759762483191867,s21.400632355907109883
010_3,s0.232514890859219087,s-0.531410421890938900,s292.608227862089677274
010_4,s-0.202479979495772761,s-0.535498065703898907,s70.421633079771666530
010_5,s-0.649001733263544045,s-0.987490675504287818,s23.629389274157677647
010_6,s-0.236869866209610064,s0.403073252864071585,s66.345835752886358705
010_7,s0.649001869301869094,s-0.030750296940627628,s336.262543301583377797
010_8,s0.153594098525711126,s-0.871498872418913662,s115.558948395435933776
010_9,s-0.165713820574763804,s0.067037408321133418,s246.345910157798613227
011_0,s-0.680367306585132225,s0.266714723909835305,s24.022076517711361987
011_1,s0.811357012792098264,s0.664709562299358736,s71.918763407385881692
011_10,s-0.200893647102520417,s0.658539068565304531,s69.034170571873062272
011_2,s0.661070939890202269,s0.248635315974127163,s207.039758735890160324
011_3,s0.324272120050355772,s0.305485552329158638,s30.125842130060334512
011_4,s0.811465889892596492,s-0.712658633332346136,s113.633811432193496671
011_5,s0.147519664665986039,s-0.081024952858293905,s249.170113135823100947
011_6,s-0.044078928128026808,s-0.694267977294727778,s293.633811442737396646
011_7,s-0.268562486653198484,s-0.223350121393591255,s354.041135518395208237
011_8,s-0.685383126725354841,s-0.156953662089863166,s156.370622269348672262
011_9,s-0.305673324221884479,s-0.646732277894941920,s118.901000583283362744
012_0,s-0.745685091977284609,s-0.026619403326741436,s333.014097007510258663
012_1,s-0.694559450041762227,s0.845095096231978982,s153.014097007944798179
012_10,s-0.113441845735221411,s0.843837138900186967,s161.066589256853120560
012_11,s0.026556206010537535,s-0.742869854117921613,s295.976231843466905502
012_2,s0.663827223212782758,s-0.097261812985922791,s114.391429240865875272
012_3,s0.338613929667385627,s0.705931577980123293,s296.057632622148958035
012_4,s-0.342757943316360225,s-0.281923645462574091,s296.901446487132943730
012_5,s0.727661039221737638,s0.229151919193266690,s340.358513039611352724
012_6,s0.736640980759970199,s-0.844228048929969388,s336.370622269343925836
012_7,s-0.218938696918781400,s-0.695623133175834130,s115.976231840885887436
012_8,s-0.723308442723074707,s-0.330702592996920008,s155.302021316837567610
012_9,s0.278833782706652156,s0.370426104690792513,s116.901446487128225726
013_0,s0.320747142021083564,s-0.769888748796128786,s250.310343091297454521
013_1,s-0.763210359459082222,s0.287523780916352667,s154.358081096288543677
013_10,s-0.036365125839633292,s-0.439049343813127491,s295.359722006726201471
013_11,s-0.233222539277675500,s-0.059819444976629839,s109.453224956961719272
013_12,s0.769859448996817131,s-0.322339315022447837,s203.629377730656557333
013_2,s0.877463264276354682,s0.736092931252467220,s114.664263365395029837
013_3,s-0.108289190177557906,s-0.777295065571302235,s113.744704017416694342
013_4,s-0.080551647773729460,s0.152343886916066068,s285.723971042530138220
013_5,s0.877041969869244875,s0.169699561703490431,s108.575913224206104246
013_6,s-0.896137310307263513,s-0.689524081398732114,s293.744704017416381703
013_7,s-0.423809298921354327,s0.364165331890777599,s336.986673577184888018
013_8,s-0.895818025929911554,s0.774069152705660124,s291.148330593357570706
013_9,s0.047173290390666915,s0.766656220934893939,s294.664263365687588703
014_0,s-0.81661786837392369431,s0.40520796415942056390,s156.37062226934466480088
014_1,s-0.87872690173933054592,s-1.08002810706888063841,s243.47297454409596184632
014_10,s0.23948619686302249909,s-1.07937579317165077697,s243.42190902704260224709
014_11,s-0.07059891441491343567,s-0.10036194993041903933,s289.68696897691438607580
014_12,s0.81662662603851687848,s-1.00538771099573098766,s336.37062210981400767196
014_13,s0.33675614452311830593,s-0.61286132001222359822,s291.13089217986805579130
014_2,s-0.92371580658758523086,s-0.60706337195629500592,s289.40683432868718227837
014_3,s-0.33686415953048004512,s0.01256978554351989921,s111.13089237024171040957
014_4,s0.07240988168527227875,s-0.50058077469212325372,s109.65805277776814818935
