id,x,y,deg
001_0,s-4.8196086194214246e+01,s5.8770984615214225e+01,s4.5000000000000000e+01
002_0,s-5.2084889881494123e-02,s2.0601181964959520e-01,s2.0362937773065684e+02
002_1,s-3.6027902912422222e-01,s-3.1690669496083401e-01,s2.3629377730656792e+01
003_0,s2.7555326168494021e-01,s-2.3945149418691869e-01,s1.1012517206077878e+02
003_1,s3.5780505249558819e-01,s2.5039147277786450e-01,s6.6370622258068281e+01
003_2,s-2.3453459205441293e-01,s1.5484988500027339e-01,s1.5513394055648595e+02
004_0,s-3.2474778959087630e-01,s1.3210997809118430e-01,s1.5637062214563639e+02
004_1,s3.1535434624113445e-01,s1.3210997806647504e-01,s1.5637062226926409e+02
004_2,s3.2474778959087658e-01,s-7.3210997806647471e-01,s3.3637062226926406e+02
004_3,s-3.1535434813632124e-01,s-7.3210997809118594e-01,s3.3637062214563645e+02
005_0,s-4.6064856256540559e-01,s1.1104546367120070e-01,s2.9362937773065681e+02
005_1,s-4.4898000602539201e-01,s-7.9869906172190352e-01,s2.3629377731320076e+01
005_2,s4.6058970651037245e-01,s-6.8880620762880151e-01,s1.1257350735837966e+02
005_3,s6.4408413047072385e-02,s-4.7172931775961774e-01,s6.6358798407120361e+01
005_4,s2.4250182482406155e-01,s9.3984735450183918e-02,s2.1264582473271960e+02
006_0,s-5.0433637769864070e-01,s1.0003136987831843e-01,s2.9362937773065664e+02
006_1,s-1.1136787661481400e-01,s-3.7943728842878605e-01,s3.3887232686970367e+02
006_2,s5.0433637767041484e-01,s-6.8215144772302028e-01,s3.3887232686339661e+02
006_3,s-3.9697419001479389e-01,s-7.4854494445485564e-01,s2.3629377730656770e+01
006_4,s-3.7350335479088087e-02,s-8.0709697382976020e-01,s2.4637062226934322e+02
006_5,s5.0433637767003781e-01,s2.0709697385699322e-01,s1.5887232686356930e+02
007_0,s-1.1026030033820465e-01,s-5.0101182688000412e-01,s1.1480259762640820e+02
007_1,s-5.1581200188747267e-01,s-2.4746745870989972e-01,s2.3629377734014721e+01
007_2,s4.6313366881772988e-01,s4.8831295259308211e-01,s6.4209158286260077e+01
007_3,s-5.1303843791980430e-01,s6.2308982093029019e-01,s-1.5637062226598533e+02
007_4,s1.8990105386285902e-01,s-3.6556364948277387e-01,s-1.2607214397887482e+02
007_5,s1.2004537664897259e-01,s-2.0187056841679998e-02,s2.4733111042648758e+01
007_6,s5.1586698121679742e-01,s1.3618193876425527e-01,s-1.5637062235018857e+02
008_0,s-2.4956221975123863e-01,s-4.1109156939177394e-01,s5.1766737817650508e+01
008_1,s6.6466754289041974e-01,s-8.5730535429617960e-01,s1.1362937778578946e+02
008_2,s-6.6466754286029128e-01,s2.5730535537051386e-01,s2.9362937773063760e+02
008_3,s5.5730535519554814e-01,s3.2683689340179994e-01,s2.0362937773065696e+02
008_4,s2.4956221984078525e-01,s-1.8890842992025864e-01,s2.3176673780277827e+02
008_5,s-2.0658887534307155e-01,s-8.5526210149168680e-01,s2.9362937778578947e+02
008_6,s2.0658887514113849e-01,s2.5526210148701151e-01,s1.1362937773063761e+02
008_7,s-5.5730535517644575e-01,s-9.2683689330982377e-01,s2.3629377730656753e+01
009_0,s1.4632775112441747e+00,s2.6275397779787529e-01,s3.3634890553226774e+02
009_1,s1.0215784877142795e+00,s7.2281390776844123e-01,s2.8936087787885788e+02
009_2,s1.5609834961216004e-01,s1.5080256841854751e+00,s2.9983157961810377e+02
009_3,s1.4491361430620271e+00,s1.1796554709654583e+00,s3.3523845251928890e+02
009_4,s5.9176083472203000e-01,s1.3243292364208958e+00,s2.4620861827025897e+02
009_5,s9.7376852663778901e-01,s1.5786890973904510e+00,s2.9069433077541055e+02
009_6,s2.4827911364363162e-01,s2.6275766743629853e-01,s2.3632712931258268e+01
009_7,s6.2732828101526550e-01,s4.5632087316625497e-01,s2.4075776150473439e+02
009_8,s5.5696278864375648e-01,s7.6763003601652180e-01,s5.1882094085006713e+01
010_0,s1.8801237569577203e-01,s3.9546833938941500e-01,s2.9015041779697606e+02
010_1,s6.4515619925336665e-01,s-1.0030732523555319e+00,s3.3860591097350817e+02
010_2,s-6.1439179136874478e-01,s-8.8759762210259760e-02,s2.1400632364279293e+01
010_3,s2.3251489079981624e-01,s-5.3141042191367371e-01,s2.9260822785217073e+02
010_4,s-2.0247997944009960e-01,s-5.3549806514845566e-01,s7.0421633118621301e+01
010_5,s-6.4900173287769392e-01,s-9.8749067542385949e-01,s2.3629389304407916e+01
010_6,s-2.3686986620741077e-01,s4.0307325286491463e-01,s6.6345835753491983e+01
010_7,s6.4900186923995373e-01,s-3.0750297195595144e-02,s3.3626254329721809e+02
010_8,s1.5359409841120475e-01,s-8.7149887253253500e-01,s1.1555894841806742e+02
010_9,s-1.6571382066211635e-01,s6.7037408545931959e-02,s2.4634591012978234e+02
011_0,s-6.8036730701121706e-01,s2.6671472414678205e-01,s2.4022076483696281e+01
011_1,s8.1135701243962466e-01,s6.6470956181008756e-01,s7.1918763711989300e+01
011_10,s3.2427212008068940e-01,s3.0548555227699026e-01,s3.0125842130277057e+01
011_2,s8.1146588987101886e-01,s-7.1265863333829182e-01,s1.1363381143244629e+02
011_3,s1.4751966447666309e-01,s-8.1024952970653888e-02,s2.4917011314861006e+02
011_4,s-4.4078928160318137e-02,s-6.9426797731508072e-01,s2.9363381144314650e+02
011_5,s-2.6856248669652716e-01,s-2.2335012128925327e-01,s3.5404113552831609e+02
011_6,s-6.8538312667597501e-01,s-1.5695366210449746e-01,s1.5637062228016623e+02
011_7,s-3.0567332425038818e-01,s-6.4673227791454957e-01,s1.1890100058246340e+02
011_8,s-2.0089364736145476e-01,s6.5853906875359380e-01,s6.9034170524817597e+01
011_9,s6.6107093964108121e-01,s2.4863531590556387e-01,s2.0703975875426497e+02
012_0,s-7.4568509197728639e-01,s-2.6619403326779440e-02,s3.3301409700752799e+02
012_1,s-6.9455945004183384e-01,s8.4509509623188017e-01,s1.5301409700794824e+02
012_10,s-3.4275794331670023e-01,s-2.8192364546334325e-01,s2.9690144648672600e+02
012_11,s7.2766103922158099e-01,s2.2915191919323830e-01,s3.4035851304000971e+02
012_2,s7.3664098075989726e-01,s-8.4422804893003134e-01,s3.3637062226934631e+02
012_3,s-2.1893869691879747e-01,s-6.9562313317582802e-01,s1.1597623184087198e+02
012_4,s-7.2330844272312866e-01,s-3.3070259299711069e-01,s1.5530202131683896e+02
012_5,s2.7883378270348164e-01,s3.7042610468803350e-01,s1.1690144648672965e+02
012_6,s-1.1344184573392330e-01,s8.4383713890006984e-01,s1.6106658925635674e+02
012_7,s2.6556206010636952e-02,s-7.4286985411791540e-01,s2.9597623184348862e+02
012_8,s6.6382722321428977e-01,s-9.7261812985210527e-02,s1.1439142924056122e+02
012_9,s3.3861392966188014e-01,s7.0593157797641071e-01,s2.9605763262243721e+02
013_0,s3.1453570787065493e-01,s-7.5756196177451951e-01,s2.5034898593274758e+02
013_1,s-7.7019325123066940e-01,s3.0018062877188278e-01,s1.5435149924137278e+02
013_10,s-9.0288254418263925e-01,s7.8620366207443693e-01,s2.9111576120801556e+02
013_11,s4.0442433992660037e-02,s7.7877229386359537e-01,s2.9467136932366492e+02
013_12,s-4.3519115665982801e-02,s-4.2763562690033208e-01,s2.9550309254675904e+02
013_2,s-2.3926517692139454e-01,s-4.8057207384070794e-02,s1.0931984620656968e+02
013_3,s7.6275261718567189e-01,s-3.0847341182687427e-01,s2.0362937773065539e+02
013_4,s8.7035833194606793e-01,s7.4790262157949483e-01,s1.1467136932366297e+02
013_5,s-1.1611924145453099e-01,s-7.6652233042156614e-01,s1.1362937820749210e+02
013_6,s-8.7236964429214900e-02,s1.6348047835655910e-01,s2.8588807954577686e+02
013_7,s8.6992553259230587e-01,s1.8294960488724238e-01,s1.0865194055824055e+02
013_8,s-9.0317956640732611e-01,s-6.7652902332544229e-01,s2.9362937820749238e+02
013_9,s-4.3088036314912831e-01,s3.7653943629841613e-01,s3.3693693402387476e+02
014_0,s-8.1661786837392392e-01,s4.0520796415942034e-01,s1.5637062226934344e+02
014_1,s-8.7872690173931767e-01,s-1.0800281070688915e+00,s2.4347297454409645e+02
014_10,s-9.2371580658758234e-01,s-6.0706337195630011e-01,s2.8940683432868934e+02
014_11,s-3.3686415953048010e-01,s1.2569785543534946e-02,s1.1113089237024197e+02
