id,x,y,deg,group
001_0,s-47.8763389434,s58.451237364399994,s45.0,1
002_0,s-4.771116268038815,s0.928559901613278,s23.62937773055205,2
002_1,s-4.462922128796255,s1.451478416224009,s203.62937773055205,2
003_0,s0.677865422134664,s1.208642996415735,s155.13405193712094,3
003_1,s1.270206477748,s1.304183930466,s66.370622269343,3
003_2,s1.167144653234,s0.822782667619,s113.218853949032,3
004_0,s0.891300801081164,s1.077030095893139,s156.36539947635174,4
004_1,s0.260514780859123,s0.212791365479024,s336.3657873396651,4
004_2,s0.251212973744321,s1.077030018260692,s156.3657873396594,4
004_3,s0.900596661271864,s0.21279128782938497,s336.3653994763766,4
005_0,s0.816590398587286,s0.608156807897436,s66.36009931191911,5
005_1,s0.291526095296492,s1.190922728470511,s293.6293777306629,5
005_2,s1.212783070773598,s0.391024850495236,s112.58928157606621,5
005_3,s0.303202397407312,s0.281168992865695,s23.629402955353434,5
005_4,s1.092848895270795,s1.264371403166657,s203.53707577826194,5
006_0,s0.638891607785925,s0.2376222332993765,s246.3717191583064,6
006_1,s1.1805986978940142,s0.36255682058016414,s338.86756817772994,6
006_2,s0.5648821603710612,s0.6652814144515066,s338.8720154416351,6
006_3,s1.180589516937784,s1.2518177771847758,s158.87203842003544,6
006_4,s0.27927345229224043,s0.2961751376123689,s23.62936771971897,6
006_5,s0.17191615484120695,s1.1447523663104804,s293.6294021233489,6
007_0,s0.19125495108110374,s-0.012041863409521847,s252.90620214548733,7
007_1,s1.4381239790136158,s0.9908231783233463,s65.18979010133307,7
007_2,s1.3304916290904694,s-0.1078280884040193,s336.37065345233384,7
007_3,s1.220186217117454,s0.43285602320784106,s37.46437637782731,7
007_4,s0.4469910017994625,s1.1146324990248013,s207.81910108226498,7
007_5,s0.6894149317793085,s0.3203844646443236,s213.5160513873161,7
007_6,s0.3513731108267378,s0.37544977835555343,s27.81909043331484,7
008_0,s1.2989508222520596,s0.26303650669925766,s305.3926122861959,8
008_1,s0.39078177618606236,s-0.18516874778305858,s305.3908634090466,8
008_2,s1.7446336829381377,s1.010845759310621,s125.39263401125413,8
008_3,s1.2456229558864045,s-0.007235474741582926,s125.39086340905396,8
008_4,s0.8897855378327472,s0.8329557556372869,s305.38895530809816,8
008_5,s0.8364235680246881,s0.5627035190758529,s125.3978354913328,8
008_6,s1.6304347682536895,s-0.23777869950648495,s336.3696667062155,8
008_7,s0.5050965191300634,s1.0634672166880232,s156.36138354184357,8
009_0,s1.8230359884839296,s1.4018353468808251,s336.3706337224839,9
009_1,s1.5305773934660754,s0.6099813554923165,s113.62937773065164,9
009_2,s1.2532077647089745,s1.1446156585387262,s154.52223540212196,9
009_3,s0.5995358642010984,s0.5087323481434626,s23.578843866871015,9
009_4,s1.7789047264419995,s1.0013384956288172,s207.12819667545796,9
009_5,s1.3516955382273266,s1.836202660840117,s293.62937773065653,9
009_6,s0.5959418677009304,s1.3945425236376112,s203.983368013745,9
009_7,s0.48922982910980073,s1.8119231950821129,s295.5412333068846,9
009_8,s0.9417564701528935,s1.6071450124386712,s249.69015954216002,9
010_0,s0.20687356026059037,s0.20948432965512748,s23.629662463209854,10
010_1,s1.0438829419429925,s1.592502520966198,s290.15219565790653,10
010_2,s1.5010383900619881,s0.1939395306676211,s338.6088007940747,10
010_3,s0.6534079415653167,s0.6614595871469859,s70.42102211597705,10
010_4,s1.5048876444084707,s1.1663019256541975,s336.26278496965506,10
010_5,s0.2415012761938016,s1.108206959204277,s21.404529348679432,10
010_6,s0.6901691623048699,s1.264052250659231,s246.34717822953488,10
010_7,s1.0095281815397608,s0.3255285983376616,s115.55847136893237,10
010_8,s1.0884243226128618,s0.665604058249931,s292.6128275252088,10
010_9,s0.6189582048522999,s1.6000056382892527,s66.33819174522557,10
011_0,s1.2654784970345623,s0.6982418495727715,s298.66015116320557,11
011_1,s0.8998505152877384,s0.8904340518285948,s158.47307335647406,11
011_2,s1.208530366677199,s0.36480771508977666,s116.99531522819774,11
011_3,s1.639466503887683,s1.24636895815053,s339.2075149658341,11
011_4,s0.31030998794401743,s1.330339246444234,s28.121309687011035,11
011_5,s1.2252930540567786,s1.7152395117668242,s293.62927760946286,11
011_6,s0.27112934509951386,s0.2146358743545371,s24.98415006998988,11
011_7,s0.26452432121994446,s1.074786229109189,s204.9841274654991,11
011_8,s0.7986964022768298,s1.7152280627043441,s66.37170877354265,11
011_9,s0.8655363406652267,s1.35982405988643,s242.7197123045903,11
011_10,s1.6358203436806353,s0.21519425116115073,s341.33308369227143,11
012_0,s1.7368528839072164,s1.003547031198428,s116.39978596873789,12
012_1,s1.336993015477621,s1.4680139056801425,s117.28161262225808,12
012_2,s0.3242072288783208,s1.0638026106992964,s334.63358632057214,12
012_3,s1.4005252716805836,s1.8059114385785004,s295.43094977865337,12
012_4,s0.34691650882807273,s0.7591422633263646,s154.9312255519294,12
012_5,s1.8023620237687779,s0.2476889612130131,s336.3710828030205,12
012_6,s0.9332965578376806,s1.9360638398570857,s161.94726528085778,12
012_7,s0.8546915156310725,s0.3984795770141115,s116.81784274261241,12
012_8,s1.10096417830856,s0.354899332256105,s296.8491231791876,12
012_9,s1.7939036123341907,s1.330410901461329,s340.10463520844735,12
012_10,s0.7226029500508814,s0.8079276460201698,s296.47869805905816,12
012_11,s0.35067660522393174,s1.9366144632305373,s154.6335923071863,12
013_0,s0.7746780640090976,s1.8951724291759373,s66.41163012976881,13
013_1,s1.522677378287875,s0.7525406119727155,s157.06639931569248,13
013_2,s1.9948872096108778,s1.806663859841176,s113.67713321791746,13
013_3,s1.206514001605308,s1.894709548743222,s293.67690957747504,13
013_4,s1.330503183331648,s1.176103285921489,s289.4557981777209,13
013_5,s1.1341666147252643,s1.55525659840407,s115.73816723948522,13
013_6,s1.861830345923487,s0.8298397245760804,s334.3466397033486,13
013_7,s1.0522404992724064,s0.34962711675471925,s114.65680057551407,13
013_8,s0.22142087955015882,s0.9416873809544035,s288.6961091417428,13
013_9,s1.9945861643899245,s0.3420448412829049,s111.19511203040832,13
013_10,s0.22097358577447282,s0.3792390797568107,s294.6566468214743,13
013_11,s0.3366522430011054,s1.4399300047634196,s20.082719433151965,13
013_12,s1.1786512385066494,s0.9640993203334509,s106.09362196179671,13
014_0,s1.550694835158619,s1.1755190233516841,s156.86992381730101,14
014_1,s1.3445310296500106,s0.17101683521764516,s331.1591546350098,14
014_2,s1.9718059848945397,s0.15280725692821326,s17.24225114520675,14
014_3,s0.31893876969791524,s0.152786783999549,s23.62937247344189,14
014_4,s0.6865712134969476,s1.8345669056819582,s301.05484655426824,14
014_5,s0.3190601249468919,s2.033983211001588,s156.42002767457302,14
014_6,s0.40646818676598007,s0.948081242150416,s241.17837416448037,14
014_7,s0.9368994644164022,s1.2593440538171492,s201.92669901535962,14
014_8,s1.985378700062967,s1.5061255153433715,s336.3765996003167,14
014_9,s0.6280644280752381,s1.5291542524632231,s128.074185154367,14
014_10,s1.0017531967077447,s0.2740789275586358,s61.178233687276986,14
014_11,s1.9808561109514375,s1.0803145165950676,s201.6918189405418,14
014_12,s1.5098065377659604,s1.9255824294331851,s293.20377494005845,14
014_13,s1.0967183278212922,s1.6294482827637176,s256.0573051350657,14
015_0,s-2.1092197887533173,s2.054972746653783,s293.92889675382776,15
015_1,s-2.0018510285126507,s0.8109442416401578,s23.627632862205015,15
015_2,s-1.6316724858957135,s1.0075557014823815,s228.68807764812414,15
015_3,s-1.2371941578469463,s1.4577297277581187,s189.18698988706092,15
015_4,s-0.8465820290185342,s1.0626850734178743,s287.3663102820574,15
015_5,s-1.2451746263404586,s0.31777831599456907,s113.62975101769388,15
015_6,s-0.35724470514456047,s0.7110147402358535,s328.3546187557645,15
