Start score: 70.540111966929 | combos=60 | rounds=5000
[001] NEW BEST 70.540104677900 (n=1200 r=71) t=2.7m
[002] NEW BEST 70.540100905019 (n=1200 r=73) t=4.7m
[003] NEW BEST 70.540100752370 (n=1200 r=79) t=7.0m
[004] NEW BEST 70.540100329064 (n=1200 r=83) t=9.4m
[005] NEW BEST 70.540099719339 (n=1200 r=89) t=11.8m
[006] NEW BEST 70.540096354442 (n=1200 r=97) t=15.0m
[007] NEW BEST 70.540096028793 (n=1200 r=101) t=17.6m
[008] NEW BEST 70.540095892196 (n=1200 r=103) t=20.5m
[009] keep 70.540095892196 (cand 70.540095892196) n=1200 r=107
[010] NEW BEST 70.540094336608 (n=1200 r=109) t=26.3m
[011] NEW BEST 70.540094222495 (n=1200 r=113) t=29.4m
[012] NEW BEST 70.540092909112 (n=1200 r=127) t=33.1m
[013] NEW BEST 70.540088826697 (n=1200 r=131) t=36.6m
[014] NEW BEST 70.540088713052 (n=1200 r=137) t=40.5m
[015] NEW BEST 70.540082199397 (n=1200 r=139) t=44.3m
