Start score: 70.439067976232 | combos=60 | rounds=5000
[001] NEW BEST 70.439066786777 (n=1200 r=229) t=6.9m
[002] NEW BEST 70.439064865979 (n=1200 r=233) t=13.9m
[003] NEW BEST 70.439064799324 (n=1200 r=239) t=21.2m
[004] NEW BEST 70.439064701243 (n=1200 r=241) t=28.1m
[005] NEW BEST 70.439064677548 (n=1200 r=251) t=35.4m
[006] NEW BEST 70.439064530492 (n=1200 r=257) t=43.0m
[007] NEW BEST 70.439064496976 (n=1200 r=263) t=50.7m
[008] NEW BEST 70.439064494217 (n=1200 r=269) t=58.7m
[009] NEW BEST 70.439064310233 (n=1200 r=271) t=66.5m
[010] keep 70.439064310233 (cand 70.439064310233) n=1200 r=277
[011] NEW BEST 70.439063134981 (n=1200 r=281) t=82.7m
[012] NEW BEST 70.439062993655 (n=1200 r=283) t=91.0m
[013] NEW BEST 70.439062983631 (n=1200 r=293) t=99.5m
[014] NEW BEST 70.439062873784 (n=1200 r=307) t=108.1m
[015] NEW BEST 70.439062872125 (n=1200 r=311) t=116.9m
[016] NEW BEST 70.439062541831 (n=1500 r=229) t=124.1m
[017] keep 70.439062541831 (cand 70.439062541831) n=1500 r=233
[018] NEW BEST 70.439062238585 (n=1500 r=239) t=138.4m
[019] NEW BEST 70.439062204411 (n=1500 r=241) t=145.7m
[020] NEW BEST 70.439062133708 (n=1500 r=251) t=153.4m
[021] NEW BEST 70.439061621938 (n=1500 r=257) t=161.3m
[022] keep 70.439061621938 (cand 70.439061621938) n=1500 r=263
[023] NEW BEST 70.439061603742 (n=1500 r=269) t=177.6m
[024] NEW BEST 70.439061528548 (n=1500 r=271) t=186.1m
[025] NEW BEST 70.439061522675 (n=1500 r=277) t=194.4m
[026] keep 70.439061522675 (cand 70.439061522675) n=1500 r=281
[027] NEW BEST 70.439060730952 (n=1500 r=283) t=211.4m
[028] NEW BEST 70.439060730921 (n=1500 r=293) t=220.3m
[029] NEW BEST 70.439060687065 (n=1500 r=307) t=229.7m
[030] NEW BEST 70.439060462117 (n=1500 r=311) t=239.2m
[031] NEW BEST 70.439060462116 (n=1800 r=229) t=246.3m
[032] NEW BEST 70.439060340091 (n=1800 r=233) t=253.7m
[033] NEW BEST 70.439060332134 (n=1800 r=239) t=261.1m
[034] keep 70.439060332134 (cand 70.439060332134) n=1800 r=241
[035] NEW BEST 70.439059660379 (n=1800 r=251) t=276.3m
[036] NEW BEST 70.439059160376 (n=1800 r=257) t=284.4m
[037] NEW BEST 70.439059151818 (n=1800 r=263) t=292.4m
[038] keep 70.439059151818 (cand 70.439059151818) n=1800 r=269
[039] NEW BEST 70.439059109053 (n=1800 r=271) t=309.4m
[040] NEW BEST 70.439059065468 (n=1800 r=277) t=318.0m
[041] NEW BEST 70.439059029307 (n=1800 r=281) t=327.0m
[042] NEW BEST 70.439059022274 (n=1800 r=283) t=335.9m
[043] NEW BEST 70.439058918508 (n=1800 r=293) t=344.9m
[044] NEW BEST 70.439058576228 (n=1800 r=307) t=354.4m
[045] NEW BEST 70.439058493543 (n=1800 r=311) t=364.1m
[046] invalid n=2000 r=229: Overlapping trees in group 200
[047] NEW BEST 70.439057528092 (n=2000 r=233) t=378.5m
[048] NEW BEST 70.439057502088 (n=2000 r=239) t=385.9m
[049] keep 70.439057502088 (cand 70.439057502088) n=2000 r=241
[050] invalid n=2000 r=251: Overlapping trees in group 200
[051] invalid n=2000 r=257: Overlapping trees in group 200
[052] invalid n=2000 r=263: Overlapping trees in group 200
[053] invalid n=2000 r=269: Overlapping trees in group 023
[054] invalid n=2000 r=271: Overlapping trees in group 023
[055] NEW BEST 70.439057417691 (n=2000 r=277) t=442.3m
[056] NEW BEST 70.439056436293 (n=2000 r=281) t=451.0m
[057] NEW BEST 70.439056349719 (n=2000 r=283) t=459.8m
[058] NEW BEST 70.439056331908 (n=2000 r=293) t=468.7m
[059] invalid n=2000 r=307: Overlapping trees in group 200
[060] invalid n=2000 r=311: Overlapping trees in group 200
[061] NEW BEST 70.439056215192 (n=1200 r=229) t=494.3m
[062] NEW BEST 70.439056214609 (n=1200 r=233) t=501.1m
[063] NEW BEST 70.439056026944 (n=1200 r=239) t=508.0m
[064] NEW BEST 70.439055607493 (n=1200 r=241) t=515.3m
[065] NEW BEST 70.439055359547 (n=1200 r=251) t=522.7m
[066] NEW BEST 70.439055271255 (n=1200 r=257) t=530.4m
[067] NEW BEST 70.439055268803 (n=1200 r=263) t=537.9m
[068] NEW BEST 70.439054150952 (n=1200 r=269) t=546.0m
[069] NEW BEST 70.439054147029 (n=1200 r=271) t=553.7m
[070] NEW BEST 70.439054145724 (n=1200 r=277) t=561.7m
[071] NEW BEST 70.439053461531 (n=1200 r=281) t=569.9m
[072] keep 70.439053461531 (cand 70.439053461531) n=1200 r=283
[073] NEW BEST 70.439053459924 (n=1200 r=293) t=586.8m
[074] NEW BEST 70.439053432527 (n=1200 r=307) t=595.8m
[075] NEW BEST 70.439053417061 (n=1200 r=311) t=604.8m
[076] NEW BEST 70.439053312975 (n=1500 r=229) t=612.0m
[077] NEW BEST 70.439053297507 (n=1500 r=233) t=619.1m
[078] NEW BEST 70.439053287472 (n=1500 r=239) t=626.2m
[079] NEW BEST 70.439053228739 (n=1500 r=241) t=633.5m
[080] NEW BEST 70.439053194261 (n=1500 r=251) t=641.0m
[081] NEW BEST 70.439053008426 (n=1500 r=257) t=648.8m
[082] NEW BEST 70.439052780988 (n=1500 r=263) t=656.7m
[083] NEW BEST 70.439051907290 (n=1500 r=269) t=664.6m
[084] NEW BEST 70.439051877735 (n=1500 r=271) t=672.7m
[085] keep 70.439051877735 (cand 70.439051877735) n=1500 r=277
[086] NEW BEST 70.439051626940 (n=1500 r=281) t=689.5m
[087] NEW BEST 70.439051403216 (n=1500 r=283) t=698.2m
[088] NEW BEST 70.439051245877 (n=1500 r=293) t=706.9m
[089] NEW BEST 70.439050878875 (n=1500 r=307) t=715.7m
